2023-08-08 12:06:38	2023-08-08 12:07:07
2023-08-09 09:04:56	2023-08-09 09:05:05
2023-08-09 09:09:12	2023-08-09 09:09:22
2023-08-09 09:09:40	2023-08-09 09:09:48
2023-08-09 09:10:06	2023-08-09 09:10:09
2023-08-09 09:10:21	2023-08-09 09:10:28
2023-08-09 09:10:17	2023-08-09 09:10:32
2023-08-09 09:12:13	2023-08-09 09:12:17
2023-08-09 09:13:07	2023-08-09 09:13:16
2023-08-09 09:12:58	2023-08-09 09:13:22
2023-08-09 09:14:54	2023-08-09 09:14:58
2023-08-09 09:15:31	2023-08-09 09:15:35
2023-08-09 09:17:46	2023-08-09 09:17:51
2023-08-09 09:20:07	2023-08-09 09:20:11
2023-08-09 09:20:59	2023-08-09 09:25:21
2023-08-09 09:25:21	2023-08-09 09:25:27
2023-08-09 09:25:54	2023-08-09 09:25:57
2023-08-09 09:26:34	2023-08-09 09:26:45
2023-08-09 09:27:02	2023-08-09 09:27:06
2023-08-09 09:27:31	2023-08-09 09:27:34
2023-08-09 09:27:45	2023-08-09 09:27:48
2023-08-09 09:27:58	2023-08-09 09:28:01
2023-08-09 09:29:39	2023-08-09 09:29:42
2023-08-09 09:29:52	2023-08-09 09:29:53
2023-08-09 09:30:43	2023-08-09 09:30:54
2023-08-09 09:31:14	2023-08-09 09:31:21
2023-08-09 09:31:46	2023-08-09 09:31:49
2023-08-09 09:32:22	2023-08-09 09:32:25
2023-08-09 09:33:05	2023-08-09 09:33:15
2023-08-09 09:35:51	2023-08-09 09:35:55
2023-08-09 09:38:45	2023-08-09 09:38:52
2023-08-09 09:40:04	2023-08-09 09:40:07
2023-08-09 09:40:31	2023-08-09 09:40:36
2023-08-09 09:43:51	2023-08-09 09:43:54
2023-08-09 09:45:59	2023-08-09 09:46:04
2023-08-09 09:49:15	2023-08-09 09:49:23
2023-08-09 09:49:45	2023-08-09 09:49:47
2023-08-09 09:50:07	2023-08-09 09:50:10
2023-08-09 09:50:25	2023-08-09 09:50:40
2023-08-09 09:50:40	2023-08-09 09:50:43
2023-08-09 09:50:56	2023-08-09 09:51:12
2023-08-09 09:51:51	2023-08-09 09:51:54
2023-08-09 09:53:49	2023-08-09 09:53:53
2023-08-09 09:55:21	2023-08-09 09:55:23
2023-08-09 09:56:55	2023-08-09 09:57:02
2023-08-09 09:57:47	2023-08-09 09:57:54
2023-08-09 10:01:34	2023-08-09 10:01:41
2023-08-09 10:02:36	2023-08-09 10:02:43
2023-08-09 10:03:34	2023-08-09 10:03:39
2023-08-09 10:03:52	2023-08-09 10:04:28
2023-08-09 10:04:28	2023-08-09 10:04:38
2023-08-09 10:05:14	2023-08-09 10:05:19
2023-08-09 10:06:55	2023-08-09 10:07:08
2023-08-09 10:07:08	2023-08-09 10:07:15
2023-08-09 10:07:38	2023-08-09 10:07:41
2023-08-09 10:07:49	2023-08-09 10:07:55
2023-08-09 10:08:16	2023-08-09 10:08:18
2023-08-09 10:08:27	2023-08-09 10:08:31
2023-08-09 10:08:52	2023-08-09 10:09:14
2023-08-09 10:09:14	2023-08-09 10:09:19
2023-08-09 10:09:37	2023-08-09 10:09:41
2023-08-09 10:09:49	2023-08-09 10:09:52
2023-08-09 10:10:02	2023-08-09 10:10:07
2023-08-09 10:10:15	2023-08-09 10:10:18
2023-08-09 10:10:24	2023-08-09 10:10:33
2023-08-09 10:10:41	2023-08-09 10:10:44
2023-08-09 10:10:53	2023-08-09 10:12:08
2023-08-09 10:12:08	2023-08-09 10:12:11
2023-08-09 10:12:39	2023-08-09 10:12:42
2023-08-09 10:13:56	2023-08-09 10:13:58
2023-08-09 10:15:08	2023-08-09 10:15:11
2023-08-09 10:15:43	2023-08-09 10:15:47
2023-08-09 10:16:31	2023-08-09 10:16:36
2023-08-09 10:17:33	2023-08-09 10:17:36
2023-08-09 10:17:58	2023-08-09 10:18:06
2023-08-09 10:18:18	2023-08-09 10:18:21
2023-08-09 10:18:43	2023-08-09 10:18:45
2023-08-09 10:18:58	2023-08-09 10:19:02
2023-08-09 10:19:19	2023-08-09 10:19:22
2023-08-09 10:19:33	2023-08-09 10:19:37
2023-08-09 10:20:20	2023-08-09 10:20:23
2023-08-09 10:21:30	2023-08-09 10:21:32
2023-08-09 10:24:02	2023-08-09 10:24:08
2023-08-09 10:26:24	2023-08-09 10:26:26
2023-08-09 10:27:35	2023-08-09 10:28:00
2023-08-09 10:28:00	2023-08-09 10:28:04
2023-08-09 10:32:18	2023-08-09 10:32:31
2023-08-09 10:33:22	2023-08-09 10:33:29
2023-08-09 10:34:20	2023-08-09 10:35:18
2024-10-31 13:32:18.658458	2024-10-31 13:32:24.882497
2024-10-31 13:32:52.919508	2024-10-31 13:33:32.435472
